Engine_Type,MTOW_kg,Range_km,Fuel_Consumption_Rate_kg_hr,Cruise_Speed_knots,Cruising_Altitude_ft,Climb_Rate_ft_min,Descent_Rate_ft_min,Landing_Weight_kg,Engine_Efficiency_TSFC,Aerodynamic_Efficiency_LD,Payload_kg,ETOPS_min,APU_Fuel_kg_hr,Wing_Span_m,Fuel_Capacity_L,Flap_Slat_Degrees,Avionics
Jet,55364.15,2000.0,4920.87,391.31,38337.9,1964.44,1001.18,48359.7,0.56,18.21,21446.92,240,79.51,30.0,20889.05,17.17,Legacy
Piston,1942.56,572.7,136.94,122.78,10662.63,588.88,383.59,1632.79,0.55,12.1,934.07,0,22.82,8.0,166.77,38.38,Modern
Turboprop,25292.94,500.0,905.88,283.28,21818.65,1056.11,810.9,22672.9,0.35,11.9,11772.91,0,16.78,15.0,4464.62,20.48,Modern
Jet,156228.28,2000.0,1000.0,536.81,35844.34,2134.69,1549.03,140946.25,0.46,16.95,75130.62,180,50.18,80.0,32161.1,32.29,Modern
Jet,74183.6,2000.0,1000.0,445.66,35179.74,2162.09,1224.57,61872.85,0.75,14.03,18429.07,60,70.6,80.0,33321.66,33.12,Modern
Jet,88598.89,15000.0,10000.0,417.26,33468.17,2039.96,1228.73,77291.53,0.58,18.93,34553.01,330,59.34,30.0,22772.2,18.5,Modern
Jet,58873.08,7610.36,9906.46,490.45,38239.15,2688.41,1376.03,51163.54,0.57,12.36,12030.2,60,56.54,30.0,21256.19,22.69,Modern
Turboprop,15824.38,1213.69,50.0,244.83,21429.46,1883.36,1162.81,14695.99,0.43,11.57,4495.15,0,24.31,30.0,5535.39,2.12,Legacy
Turboprop,12792.99,500.0,782.28,243.76,20395.93,1870.46,1170.04,10475.44,0.37,11.7,3880.99,0,-11.39,30.0,3524.78,20.76,Modern
Turboprop,19315.05,500.0,739.6,237.55,23003.91,1923.41,1178.64,16575.88,0.44,11.87,8783.32,0,42.54,15.0,7697.78,34.99,Modern
Jet,110277.15,2000.0,2642.03,468.53,35530.66,2174.61,1642.56,91725.22,0.48,18.14,36195.31,180,76.51,80.0,40920.5,19.12,Modern
Piston,6258.63,1217.0,200.0,94.56,10008.77,591.45,449.74,5828.46,0.55,11.3,2513.68,0,42.49,8.0,100.0,24.29,Modern
Turboprop,12714.5,500.0,1000.0,281.99,20969.68,1485.02,864.45,10867.63,0.39,11.93,4473.1,0,32.37,15.0,2183.02,20.4,Modern
Jet,73154.24,2000.0,5503.75,476.08,34348.14,1419.28,928.69,61861.93,0.62,15.78,16571.72,180,53.92,30.0,20000.0,38.17,Legacy
Jet,95340.96,2000.0,8856.02,510.18,37169.79,2460.79,1548.15,81427.8,0.49,15.83,30781.36,180,63.28,30.0,39154.38,33.16,Modern
Jet,94137.27,4024.41,1000.0,461.99,32575.93,2036.37,1615.82,82144.74,0.43,14.33,20112.05,180,67.71,80.0,20000.0,33.83,Legacy
Jet,93924.31,7274.73,9093.3,462.86,35837.95,1909.58,1407.46,76271.29,0.56,10.83,30697.06,180,37.27,30.0,42886.82,16.9,Legacy
Jet,123314.68,2000.0,10000.0,360.94,36291.78,1212.34,875.13,106095.85,0.67,14.91,55350.62,120,59.8,30.0,48611.58,39.0,Legacy
